# Offset 	Multiplier
1.688913754168421e-05 5.399385314806909e-06
1.6889025391811277e-05 5.374284504241146e-06
1.8118320171956064e-05 5.797041240349721e-06
2.2251092627101906e-05 7.519957857266954e-06
1.688376369433528e-05 6.678275536293997e-06
1.7211976715546635e-05 9.179587262241382e-06
5.039798395688488e-06 1.4469813195729713e-05
1.2072430266978414e-05 6.4304748524414434e-06
4.302981944020974e-06 1.2046364573804068e-05
1.68914756585691e-05 5.448100342303426e-06
1.2736543424873808e-06 8.473384967794984e-06
1.241931521360142e-05 5.950838401229036e-06
1.8788584808651775e-05 6.0587504992388375e-06
3.5775412163225388e-06 6.632649641160572e-06
1.8974815241210258e-05 5.923703750267694e-06
0.0012633712213314737 0.00012966918463344496
1.2810605222665722e-05 0.00014249070908623206
0.00020659460424041155 0.00011466910484194523
0.0003377391316017244 8.504230359683467e-05
-0.0015371850029721544 0.0002453228707532582
0.000602079426295911 9.098826923401215e-05
7.06150605807146e-05 0.00010716052766896656
0.00033776319498961363 0.00013046788422586242
-3.6198420300341576e-05 0.00012266352451774376
0.0003377751705630989 9.514744383306218e-05
-0.00046151496406227223 0.00012701197581606828
-0.00047034084482642526 0.00016840474898877834
0.00048512785934547826 9.475988522248476e-05
7.198698941209372e-05 0.00016567450364935582
7.847376761518876e-05 0.00021204358439525954
0.0003377115404061985 0.00015023594156567677
0.0002416020989475966 0.00014540912763958785
